template_id,coding_model,success_rate,healthcheck_pass_rate,template_failed_rate,avg_duration,total_input_tokens,total_output_tokens,count
trpc-agent,gpt-oss,0.3,0.9,0.6333333333333333,540.3881235,37822241,1541622,30
trpc-agent,gpt-oss-2,0.43333333333333335,0.9666666666666667,0.5333333333333333,413.89350950000005,31745461,1345886,30
trpc-agent,gpt-oss-3,0.6,0.9333333333333333,0.36666666666666664,535.0138293666665,36932482,1533811,30
trpc-agent,qwen3-480b-35a,0.7,0.8666666666666667,0.2,780.2748884999999,37478834,1198180,30
trpc-agent,qwen3-480b-35a-2,0.6333333333333333,0.9,0.26666666666666666,737.3059443,40882458,1052872,30
trpc-agent,qwen3-480b-35a-3,0.7333333333333333,0.9,0.16666666666666666,764.4742066333332,34254891,1099313,30
