AB,baseline_total,baseline_pass,baseline_warn,baseline_fail,baseline_pass_rate,baseline_warn_rate,baseline_fail_rate,no_lint_total,no_lint_pass,no_lint_warn,no_lint_fail,no_lint_pass_rate,no_lint_warn_rate,no_lint_fail_rate,delta_pass_pp,delta_warn_pp,delta_fail_pp
AB-03 Create,24,22,2,0,91.66666666666666,8.333333333333332,0.0,24,20,2,2,83.33333333333334,8.333333333333332,8.333333333333332,-8.333333333333314,0.0,8.333333333333332
AB-04 View/Edit,20,18,1,1,90.0,5.0,5.0,17,14,3,0,82.35294117647058,17.647058823529413,0.0,-7.64705882352942,12.647058823529413,-5.0
